"AS OF DATE","PROCESSED DATE","SOURCE NAME 1","SOURCE NAME 2","FUND","MODEL","TYPE","DESCRIPTION","CATEGORY","SHARES","PRICE","TOTAL"
"2023-12-01","2023-12-01","ROTH 401(k)","","JCBUX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0350000000","9.970000","0.350"
"2023-11-08","2023-11-08","ROTH 401(k)","","JCBUX","5021","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0030000000","9.810000","-0.030"
"2023-11-01","2023-11-01","ROTH 401(k)","","JCBUX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0340000000","9.640000","0.320"
"2023-10-18","2023-10-18","ROTH 401(k)","","JCBUX","5021","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0030000000","9.650000","-0.030"
"2024-03-29","2024-03-29","ROTH 401(k)","","JCBUX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0360000000","10.170000","0.360"
"2024-03-01","2024-03-01","ROTH 401(k)","","JCBUX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0330000000","10.090000","0.330"
"2024-03-14","2024-03-14","ROTH 401(k)","","JCBUX","5021","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0020000000","10.190000","-0.020"
"2024-02-12","2024-02-12","ROTH 401(k)","","JCBUX","5021","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0020000000","10.170000","-0.020"
"2024-02-01","2024-02-01","ROTH 401(k)","","JCBUX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0320000000","10.230000","0.320"
"2024-01-12","2024-01-12","ROTH 401(k)","","JCBUX","5021","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0020000000","10.280000","-0.020"
"2024-11-01","2024-11-01","ROTH 401(k)","","JCBUX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0380000000","10.250000","0.390"
"2024-11-15","2024-11-15","ROTH 401(k)","","JCBUX","5021","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0020000000","10.190000","-0.020"
"2024-12-10","2024-12-10","ROTH 401(k)","","JCBUX","5021","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0020000000","10.330000","-0.020"
"2024-12-02","2024-12-02","ROTH 401(k)","","JCBUX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0370000000","10.250000","0.380"
"2025-01-02","2025-01-02","ROTH 401(k)","","JCBUX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0370000000","10.090000","0.370"
"2025-01-09","2025-01-09","ROTH 401(k)","","JCBUX","5021","PURCHASE OF SHARES","ASSET ALLOCATION","TRANSFERS","0.0610000000","10.080000","0.610"
"2024-08-01","2024-08-01","ROTH 401(k)","","JCBUX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0360000000","10.250000","0.370"
"2024-08-13","2024-08-13","ROTH 401(k)","","JCBUX","5021","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0020000000","10.420000","-0.020"
"2024-09-03","2024-09-03","ROTH 401(k)","","JCBUX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0360000000","10.470000","0.380"
"2024-09-13","2024-09-13","ROTH 401(k)","","JCBUX","5021","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0030000000","10.600000","-0.030"
"2024-10-01","2024-10-01","ROTH 401(k)","","JCBUX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0350000000","10.540000","0.370"
"2024-10-11","2024-10-11","ROTH 401(k)","","JCBUX","5021","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0020000000","10.380000","-0.020"
"2024-06-03","2024-06-03","ROTH 401(k)","","JCBUX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0370000000","9.970000","0.370"
"2024-05-10","2024-05-10","ROTH 401(k)","","JCBUX","5021","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0020000000","10.070000","-0.020"
"2024-05-01","2024-05-01","ROTH 401(k)","","JCBUX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0400000000","9.920000","0.400"
"2024-04-12","2024-04-12","ROTH 401(k)","","JCBUX","5021","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0020000000","10.000000","-0.020"
"2024-07-11","2024-07-11","ROTH 401(k)","","JCBUX","5021","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0020000000","10.190000","-0.020"
"2024-07-12","2024-07-12","ROTH 401(k)","","JCBUX","5021","PURCHASE OF SHARES","ASSET ALLOCATION","TRANSFERS","0.0530000000","10.240000","0.540"
"2024-06-13","2024-06-13","ROTH 401(k)","","VTTSX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0140000000","49.840000","-0.710"
"2024-07-11","2024-07-11","ROTH 401(k)","","VTTSX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0140000000","51.150000","-0.710"
"2025-02-12","2025-02-12","ROTH 401(k)","","VTTSX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0140000000","53.130000","-0.750"
"2025-01-14","2025-01-14","ROTH 401(k)","","VTTSX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0150000000","50.680000","-0.740"
"2024-07-01","2024-07-01","ROTH 401(k)","","JCBUX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0360000000","10.130000","0.370"
"2024-06-13","2024-06-13","ROTH 401(k)","","JCBUX","5021","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0020000000","10.160000","-0.020"
"2024-11-15","2024-11-15","ROTH 401(k)","","VTTSX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0140000000","52.900000","-0.730"
"2024-10-11","2024-10-11","ROTH 401(k)","","VTTSX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0140000000","52.890000","-0.740"
"2024-09-13","2024-09-13","ROTH 401(k)","","VTTSX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0140000000","51.480000","-0.730"
"2024-08-13","2024-08-13","ROTH 401(k)","","VTTSX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0150000000","49.390000","-0.720"
"2024-04-12","2024-04-12","ROTH 401(k)","","VTTSX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0140000000","48.300000","-0.700"
"2024-05-10","2024-05-10","ROTH 401(k)","","VTTSX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0140000000","48.740000","-0.680"
"2024-02-12","2024-02-12","ROTH 401(k)","","VTTSX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0140000000","46.690000","-0.670"
"2024-03-14","2024-03-14","ROTH 401(k)","","VTTSX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0140000000","48.250000","-0.680"
"2025-01-02","2025-01-02","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0320000000","51.380000","1.660"
"2025-01-02","2025-01-02","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","1.3780000000","51.380000","70.830"
"2025-01-02","2025-01-02","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0080000000","51.380000","0.400"
"2024-12-10","2024-12-10","ROTH 401(k)","","VTTSX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0140000000","54.220000","-0.750"
"2023-10-05","2023-10-06","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","2.0820000000","41.590000","86.600"
"2023-10-18","2023-10-18","ROTH 401(k)","","VTTSX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0200000000","42.450000","-0.830"
"2023-11-08","2023-11-08","ROTH 401(k)","","VTTSX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0190000000","42.570000","-0.810"
"2023-12-11","2023-12-11","ROTH 401(k)","","VTTSX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0190000000","44.790000","-0.860"
"2023-12-29","2023-12-29","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","1.3560000000","45.770000","62.060"
"2024-01-12","2024-01-12","ROTH 401(k)","","VTTSX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0150000000","45.410000","-0.670"
"2023-08-09","2023-08-09","ROTH 401(k)","","VTTSX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0170000000","44.030000","-0.740"
"2023-08-10","2023-08-11","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","1.9720000000","43.910000","86.600"
"2023-08-24","2023-08-28","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","2.0140000000","43.000000","86.600"
"2023-09-07","2023-09-11","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","1.9970000000","43.360000","86.600"
"2023-09-11","2023-09-11","ROTH 401(k)","","VTTSX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0180000000","43.360000","-0.780"
"2023-09-21","2023-09-22","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","2.0380000000","42.490000","86.600"
"2023-02-09","2023-02-10","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","0.1050000000","41.400000","4.330"
"2023-02-24","2023-02-24","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","0.1060000000","40.760000","4.330"
"2023-03-09","2023-03-13","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","0.1100000000","39.530000","4.330"
"2023-07-13","2023-07-14","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","1.9440000000","44.540000","86.600"
"2023-07-14","2023-07-14","ROTH 401(k)","","VTTSX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0150000000","44.540000","-0.670"
"2023-07-27","2023-07-31","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","1.9250000000","44.990000","86.600"
"2022-09-08","2022-09-09","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","0.0590000000","39.910000","2.350"
"2022-09-22","2022-09-26","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","0.0630000000","37.120000","2.350"
"2022-10-06","2022-10-11","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","0.0640000000","36.820000","2.350"
"2023-01-04","2023-01-04","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0240000000","38.410000","0.910"
"2023-01-12","2023-01-17","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","0.1060000000","40.880000","4.330"
"2023-01-26","2023-01-27","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","0.1040000000","41.570000","4.330"
"2022-06-16","2022-06-21","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","0.0620000000","38.080000","2.350"
"2022-06-30","2022-07-05","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","0.0600000000","39.110000","2.350"
"2022-07-14","2022-07-18","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","0.0600000000","39.030000","2.350"
"2022-07-28","2022-07-29","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","0.0570000000","41.040000","2.350"
"2022-08-11","2022-08-12","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","0.0560000000","42.150000","2.350"
"2022-08-25","2022-08-26","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","0.0560000000","41.760000","2.350"
"2022-03-24","2022-03-28","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","0.0520000000","45.340000","2.350"
"2022-04-07","2022-04-11","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","0.0520000000","44.790000","2.350"
"2022-04-21","2022-04-25","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","0.0550000000","43.000000","2.350"
"2022-05-05","2022-05-09","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","0.0570000000","41.370000","2.350"
"2022-05-19","2022-05-23","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","0.0580000000","40.350000","2.350"
"2022-06-02","2022-06-06","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","0.0560000000","41.920000","2.350"
"2023-07-10","2023-07-10","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","4.0800000000","43.100000","175.840"
"2023-07-10","2023-07-10","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","7.1530000000","43.100000","308.300"
"2022-02-10","2022-02-14","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","0.0520000000","45.400000","2.350"
"2022-02-16","2022-02-16","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","0.1020000000","45.860000","4.640"
"2022-02-24","2022-02-28","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","0.0520000000","44.880000","2.350"
"2022-03-10","2022-03-14","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","0.0550000000","42.670000","2.350"
"2023-06-12","2023-06-12","ROTH 401(k)","","VTTSX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0080000000","42.710000","-0.330"
"2023-06-15","2023-06-16","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","0.2970000000","43.800000","12.990"
"2023-06-29","2023-06-30","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","2.0050000000","43.200000","86.600"
"2023-07-10","2023-07-10","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","2.7980000000","43.100000","120.600"
"2023-07-10","2023-07-10","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","2.8120000000","43.100000","121.180"
"2023-07-10","2023-07-10","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","0.5550000000","43.100000","23.920"
"2023-05-30","2023-05-30","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","11.3670000000","41.830000","475.470"
"2023-05-04","2023-05-05","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","0.1050000000","41.220000","4.330"
"2023-03-23","2023-03-27","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","0.1080000000","40.150000","4.330"
"2023-04-06","2023-04-10","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","0.1050000000","41.380000","4.330"
"2023-04-20","2023-04-21","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","0.1040000000","41.720000","4.330"
"2023-06-01","2023-06-02","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","1.3430000000","41.920000","56.290"
"2025-01-14","2025-01-14","ROTH 401(k)","","BIMIX","5021","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0050000000","10.210000","-0.050"
"2025-01-31","2025-01-31","ROTH 401(k)","","BIMIX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0640000000","10.300000","0.660"
"2025-02-12","2025-02-12","ROTH 401(k)","","BIMIX","5021","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0050000000","10.310000","-0.050"
"2023-05-18","2023-05-19","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","0.1030000000","42.010000","4.330"
"2023-05-30","2023-05-30","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","0.2730000000","41.830000","11.440"
"2023-05-30","2023-05-30","ROTH 401(k)","","VTTSX","","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","14.7200000000","41.830000","615.740"
"2023-06-29","2023-06-29","ROTH 401(k)","","BIMIX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0750000000","10.150000","0.760"
"2023-06-15","2023-06-16","ROTH 401(k)","","BIMIX","5021","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","0.3830000000","10.170000","3.900"
"2023-06-12","2023-06-12","ROTH 401(k)","","BIMIX","5021","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0080000000","10.150000","-0.080"
"2023-05-31","2023-05-31","ROTH 401(k)","","BIMIX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0720000000","10.130000","0.720"
"2023-06-01","2023-06-02","ROTH 401(k)","","BIMIX","5021","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","1.2710000000","10.220000","12.990"
"2023-05-30","2023-05-30","ROTH 401(k)","","BIMIX","5021","PURCHASE OF SHARES","PURCHASE DUE TO FUND TRANSFER","TRANSFERS","27.2430000000","10.120000","275.690"
"2023-07-10","2023-07-10","ROTH 401(k)","","BIMIX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-1.7920000000","10.040000","-17.990"
"2023-07-10","2023-07-10","ROTH 401(k)","","BIMIX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-1.9300000000","10.040000","-19.380"
"2023-07-10","2023-07-10","ROTH 401(k)","","BIMIX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-2.7570000000","10.040000","-27.690"
"2023-07-10","2023-07-10","ROTH 401(k)","","BIMIX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.8270000000","10.040000","-8.300"
"2023-07-10","2023-07-10","ROTH 401(k)","","BIMIX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-1.9290000000","10.040000","-19.370"
"2023-06-29","2023-06-30","ROTH 401(k)","","BIMIX","5021","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","0.6440000000","10.100000","6.500"
"2023-07-10","2023-07-10","ROTH 401(k)","","BIMIX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.8270000000","10.040000","-8.300"
"2023-07-10","2023-07-10","ROTH 401(k)","","BIMIX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.5510000000","10.040000","-5.540"
"2023-07-10","2023-07-10","ROTH 401(k)","","BIMIX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.8270000000","10.040000","-8.300"
"2023-07-10","2023-07-10","ROTH 401(k)","","BIMIX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.9650000000","10.040000","-9.690"
"2023-07-10","2023-07-10","ROTH 401(k)","","BIMIX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.5510000000","10.040000","-5.540"
"2023-07-10","2023-07-10","ROTH 401(k)","","BIMIX","5021","SALE OF SHARES","SALE DUE TO FUND TRANSFER","TRANSFERS","-0.8270000000","10.040000","-8.300"
"2023-08-10","2023-08-11","ROTH 401(k)","","BIMIX","5021","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","0.6440000000","10.090000","6.500"
"2023-08-09","2023-08-09","ROTH 401(k)","","BIMIX","5021","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0360000000","10.130000","-0.360"
"2023-07-27","2023-07-31","ROTH 401(k)","","BIMIX","5021","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","0.6440000000","10.100000","6.500"
"2023-07-28","2023-07-28","ROTH 401(k)","","BIMIX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0460000000","10.100000","0.470"
"2023-07-14","2023-07-14","ROTH 401(k)","","BIMIX","5021","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0310000000","10.190000","-0.320"
"2023-07-13","2023-07-14","ROTH 401(k)","","BIMIX","5021","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","0.6380000000","10.190000","6.500"
"2023-09-28","2023-09-28","ROTH 401(k)","","BIMIX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0540000000","9.960000","0.540"
"2023-09-21","2023-09-22","ROTH 401(k)","","BIMIX","5021","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","0.6510000000","9.990000","6.500"
"2023-09-11","2023-09-11","ROTH 401(k)","","BIMIX","5021","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0370000000","10.040000","-0.370"
"2023-09-07","2023-09-11","ROTH 401(k)","","BIMIX","5021","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","0.6470000000","10.040000","6.500"
"2023-08-29","2023-08-29","ROTH 401(k)","","BIMIX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0500000000","10.020000","0.500"
"2023-08-24","2023-08-28","ROTH 401(k)","","BIMIX","5021","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","0.6490000000","10.020000","6.500"
"2023-12-11","2023-12-11","ROTH 401(k)","","BIMIX","5021","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0350000000","10.160000","-0.360"
"2023-11-30","2023-11-30","ROTH 401(k)","","BIMIX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0650000000","10.070000","0.660"
"2023-11-08","2023-11-08","ROTH 401(k)","","BIMIX","5021","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0350000000","10.000000","-0.350"
"2023-10-27","2023-10-27","ROTH 401(k)","","BIMIX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0630000000","9.880000","0.620"
"2023-10-18","2023-10-18","ROTH 401(k)","","BIMIX","5021","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0350000000","9.890000","-0.350"
"2023-10-05","2023-10-06","ROTH 401(k)","","BIMIX","5021","PURCHASE OF SHARES","EMPLOYEE POST TAX CONTRIBUTION","CONTRIBUTION","0.6550000000","9.930000","6.500"
"2024-02-29","2024-02-29","ROTH 401(k)","","BIMIX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0600000000","10.190000","0.610"
"2024-03-14","2024-03-14","ROTH 401(k)","","BIMIX","5021","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0050000000","10.260000","-0.050"
"2024-02-12","2024-02-12","ROTH 401(k)","","BIMIX","5021","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0310000000","10.250000","-0.320"
"2024-01-31","2024-01-31","ROTH 401(k)","","BIMIX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0510000000","10.260000","0.520"
"2024-01-12","2024-01-12","ROTH 401(k)","","BIMIX","5021","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0310000000","10.310000","-0.320"
"2024-01-03","2024-01-03","ROTH 401(k)","","BIMIX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0740000000","10.310000","0.760"
"2024-12-10","2024-12-10","ROTH 401(k)","","BIMIX","5021","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0050000000","10.400000","-0.050"
"2024-12-03","2024-12-03","ROTH 401(k)","","BIMIX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0750000000","10.350000","0.780"
"2025-01-03","2025-01-03","ROTH 401(k)","","BIMIX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0830000000","10.250000","0.850"
"2025-01-09","2025-01-09","ROTH 401(k)","","BIMIX","5021","SALE OF SHARES","ASSET ALLOCATION","TRANSFERS","-0.0600000000","10.260000","-0.610"
"2025-01-09","2025-01-09","ROTH 401(k)","","BIMIX","5021","SALE OF SHARES","ASSET ALLOCATION","TRANSFERS","-0.0110000000","10.260000","-0.120"
"2024-03-29","2024-03-29","ROTH 401(k)","","BIMIX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0700000000","10.230000","0.710"
"2024-08-29","2024-08-29","ROTH 401(k)","","BIMIX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0670000000","10.480000","0.700"
"2024-09-13","2024-09-13","ROTH 401(k)","","BIMIX","5021","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0050000000","10.570000","-0.050"
"2024-09-27","2024-09-27","ROTH 401(k)","","BIMIX","5021","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0690000000","10.570000","0.730"
"2024-10-11","2024-10-11","ROTH 401(k)","","BIMIX","5021","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0050000000","10.440000","-0.050"
